Location  ,Location Detail,Installed or Proposed,Latitude,Longitude,Permit,Home is Where the Habitat Is Infographic Y/N?,Rationale for Install,Who installed? ,Date Installed,Notes,Who Installs New Sign?,Location Data,Notes for Intall,
Anchor River,Pate KHLT property-Sterling Highway,Installed,59.75432,-151.77807,Permits secured KHLT,,,KHLT,2018,,,https://docs.google.com/spreadsheets/d/1pCgDuV28dabpcH1Lq_g_SC8zfs7cgC4BcoMVUnbzTu4/edit?usp=sharing,,
Anchor River,Starr KHLT property-Sterling Highway,Installed,59.73305,-151.72913,Permits secured KHLT,,,KHLT,2018,,,https://docs.google.com/spreadsheets/d/1pCgDuV28dabpcH1Lq_g_SC8zfs7cgC4BcoMVUnbzTu4/edit?usp=sharing,,
Deep Creek,Deep Creek State Recreational Area,Installed,60.03281,-151.70014,None needed,Y,,CIK,2020,,,https://docs.google.com/spreadsheets/d/1pCgDuV28dabpcH1Lq_g_SC8zfs7cgC4BcoMVUnbzTu4/edit?usp=sharing,,
Ninilchik,Ninilchik River Campground 1,Installed,60.04793,-151.65268,None needed,Y,,CIK,2020,,,https://docs.google.com/spreadsheets/d/1pCgDuV28dabpcH1Lq_g_SC8zfs7cgC4BcoMVUnbzTu4/edit?usp=sharing,,
Ninilchik,Ninilchik River Campground 2,Installed,60.04808,-151.65039,None needed,Y,,CIK,2020,,,https://docs.google.com/spreadsheets/d/1pCgDuV28dabpcH1Lq_g_SC8zfs7cgC4BcoMVUnbzTu4/edit?usp=sharing,,
Russian River,Russian River angler trail,Installed,60.48575,-149.99728,None needed,,,KWF,2021,,,https://docs.google.com/spreadsheets/d/1pCgDuV28dabpcH1Lq_g_SC8zfs7cgC4BcoMVUnbzTu4/edit?usp=sharing,,
Russian River,Russian River angler trail,Installed,60.47966,-149.97270,None needed,,,KWF,2021,,,https://docs.google.com/spreadsheets/d/1pCgDuV28dabpcH1Lq_g_SC8zfs7cgC4BcoMVUnbzTu4/edit?usp=sharing,,
Russian River,Russian River angler trail,Installed,60.48187,-149.97431,None needed,,,KWF,2021,,,https://docs.google.com/spreadsheets/d/1pCgDuV28dabpcH1Lq_g_SC8zfs7cgC4BcoMVUnbzTu4/edit?usp=sharing,,
Seldovia,Dunegenss avenue ,Installed,59.43890,-151.70103,,,,KHLT,,,,,,KHLT wants to be in the loop about the permitting process for all signs. Can KWF do mapping for all new signs? KHLT will commit to installing Seward signs.
Seward,3rd Ave. North end of boardwalk/Benny Benson Memorial,Installed,60.11944,-149.43420,Permits secured KHLT,,,KHLT,2018,Location estimated by B Meyer,,https://docs.google.com/spreadsheets/d/1pCgDuV28dabpcH1Lq_g_SC8zfs7cgC4BcoMVUnbzTu4/edit?usp=sharing,,
