Mini Sonde 5 64819
"Log File Name : Vogel_Lake_64819"
"Setup Date (M/D/YYYY) : 5/27/2021"
"Setup Time (HH:MM:SS) : 10:24:42"
"Starting Date (M/D/YYYY) : 5/27/2021"
"Starting Time (HH:MM:SS) : 12:00:00"
"Stopping Date (M/D/YYYY) : 9/27/2021"
"Stopping Time (HH:MM:SS) : 12:00:00"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","pH","","SpCond","","TurbSC","","LDO","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","Units","","µS/cm","","NTU","","mg/l","","%Left",""

5/27/2021,12:00:00,"","21.32","","6.63","","0","","0.0","","6.70","","0",""
5/27/2021,12:15:00,"","20.73","","6.65","","0","","0.0","","6.77","","0",""
5/27/2021,12:30:00,"","17.76","","6.59","","321","","0.0","","0.00","","0",""
5/27/2021,12:45:00,"","18.32","","6.59","","317","","0.0","","6.55","","0",""
5/27/2021,13:00:00,"","20.93","","6.60","","309","","0.0","","6.35","","0",""
5/27/2021,13:15:00,"","14.89","","6.82","","74","","0.0","","10.39","","0",""
5/27/2021,13:30:00,"","14.91","","7.09","","74","","0.0","","10.36","","0",""
5/27/2021,13:45:00,"","14.91","","7.17","","74","","0.0","","10.32","","0",""
5/27/2021,14:00:00,"","14.95","","7.21","","74","","0.0","","10.34","","0",""
5/27/2021,14:15:00,"","14.98","","7.24","","74","","0.0","","10.37","","0",""
5/27/2021,14:30:00,"","14.99","","7.26","","74","","0.0","","10.35","","0",""
5/27/2021,14:45:00,"","15.00","","7.27","","74","","0.0","","10.34","","0",""
5/27/2021,15:00:00,"","15.05","","7.28","","74","","0.0","","10.37","","0",""
5/27/2021,15:15:00,"","15.11","","7.30","","74","","0.0","","10.40","","0",""
5/27/2021,15:30:00,"","15.08","","7.31","","74","","0.0","","10.40","","0",""
5/27/2021,15:45:00,"","15.15","","7.32","","74","","0.0","","10.38","","0",""
5/27/2021,16:00:00,"","15.14","","7.33","","74","","0.0","","10.42","","0",""
5/27/2021,16:15:00,"","15.16","","7.33","","74","","0.0","","10.38","","0",""
5/27/2021,16:30:00,"","15.17","","7.32","","74","","0.0","","10.42","","0",""
5/27/2021,16:45:00,"","15.18","","7.32","","74","","0.0","","10.37","","0",""
5/27/2021,17:00:00,"","15.15","","7.32","","74","","0.0","","10.39","","0",""
5/27/2021,17:15:00,"","15.18","","7.33","","74","","0.0","","10.38","","0",""
5/27/2021,17:30:00,"","15.24","","7.32","","74","","0.0","","10.40","","0",""
5/27/2021,17:45:00,"","15.20","","7.30","","74","","0.0","","10.40","","0",""
5/27/2021,18:00:00,"","15.30","","7.33","","74","","0.0","","10.42","","0",""
5/27/2021,18:15:00,"","15.26","","7.32","","74","","0.0","","10.37","","0",""
5/27/2021,18:30:00,"","15.24","","7.31","","74","","0.0","","10.40","","0",""
5/27/2021,18:45:00,"","15.30","","7.31","","74","","0.0","","10.40","","0",""
5/27/2021,19:00:00,"","15.25","","7.30","","74","","0.0","","10.39","","0",""
5/27/2021,19:15:00,"","15.20","","7.28","","74","","0.0","","10.42","","0",""
5/27/2021,19:30:00,"","15.15","","7.33","","74","","0.0","","10.43","","0",""
5/27/2021,19:45:00,"","15.06","","7.31","","74","","0.0","","10.39","","0",""
5/27/2021,20:00:00,"","14.90","","7.31","","74","","0.0","","10.32","","0",""
5/27/2021,20:15:00,"","14.60","","7.23","","75","","0.0","","10.17","","0",""
5/27/2021,20:30:00,"","14.28","","7.16","","75","","0.0","","9.91","","0",""
5/27/2021,20:45:00,"","14.12","","7.16","","75","","0.0","","9.90","","0",""
5/27/2021,21:00:00,"","13.96","","7.15","","75","","0.0","","9.97","","0",""
5/27/2021,21:15:00,"","13.86","","7.14","","75","","0.0","","10.00","","0",""
5/27/2021,21:30:00,"","13.94","","7.19","","73","","0.0","","10.29","","0",""
5/27/2021,21:45:00,"","13.88","","7.20","","73","","0.0","","10.25","","0",""
5/27/2021,22:00:00,"","13.81","","7.21","","74","","0.0","","10.24","","0",""
5/27/2021,22:15:00,"","13.83","","7.21","","73","","0.0","","10.33","","0",""
5/27/2021,22:30:00,"","13.82","","7.23","","73","","0.0","","10.42","","0",""
5/27/2021,22:45:00,"","13.76","","7.22","","73","","0.0","","10.30","","0",""
5/27/2021,23:00:00,"","13.87","","7.23","","73","","0.0","","10.34","","0",""
5/27/2021,23:15:00,"","13.92","","7.23","","74","","0.0","","10.31","","0",""
