HYDROLAB MS5 64822
"Log File Name : Miller_Creek_Buoy_64822_20210629"
"Setup Date (M/D/YYYY) : 6/29/2021"
"Setup Time (HH:MM:SS) : 17:49:21"
"Starting Date (M/D/YYYY) : 6/29/2021"
"Starting Time (HH:MM:SS) : 19:00:00"
"Stopping Date (M/D/YYYY) : 9/29/2021"
"Stopping Time (HH:MM:SS) : 19:00:00"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","pH","","SpCond","","TurbSC","","LDO",""
"M/D/YYYY","HH:MM:SS","","°C","","Units","","µS/cm","","NTU","","mg/l",""

6/29/2021,19:00:00,"","17.63","","5.49","","72","","49.5","*","10.25",""
6/29/2021,19:15:00,"","17.66","","5.51","","72","","49.5","*","10.22",""
6/29/2021,19:30:00,"","17.66","","5.52","","71","","49.3","*","10.26",""
6/29/2021,19:45:00,"","17.24","","5.54","","72","","49.3","*","10.31",""
6/29/2021,20:00:00,"","17.22","","5.56","","72","","49.3","*","10.32",""
6/29/2021,20:15:00,"","17.20","","5.57","","72","","49.3","*","10.41",""
6/29/2021,20:30:00,"","17.17","","5.58","","72","","49.3","*","10.34",""
6/29/2021,20:45:00,"","17.17","","5.59","","71","","49.3","*","10.39",""
6/29/2021,21:00:00,"","17.14","","5.60","","71","","49.2","*","10.34",""
6/29/2021,21:15:00,"","17.14","","5.61","","71","","49.2","*","10.27",""
6/29/2021,21:30:00,"","17.12","","5.61","","72","","49.2","*","10.26",""
6/29/2021,21:45:00,"","17.11","","5.62","","72","","49.9","*","10.32",""
6/29/2021,22:00:00,"","17.09","","5.62","","72","","49.1","*","10.29",""
6/29/2021,22:15:00,"","17.07","","5.63","","72","","49.0","*","10.28",""
6/29/2021,22:30:00,"","17.07","","5.64","","71","","49.0","*","10.28",""
6/29/2021,22:45:00,"","17.08","","5.63","","72","","49.1","*","10.28",""
6/29/2021,23:00:00,"","17.06","","5.63","","71","","49.0","*","10.29",""
6/29/2021,23:15:00,"","17.02","","5.63","","71","","50.2","*","10.27",""
6/29/2021,23:30:00,"","16.97","","5.63","","71","","49.0","*","10.26",""
6/29/2021,23:45:00,"","16.95","","5.62","","72","","49.0","*","10.23",""
6/30/2021,00:00:00,"","16.93","","5.63","","72","","49.0","*","10.21",""
6/30/2021,00:15:00,"","16.89","","5.63","","72","","49.2","*","10.24",""
6/30/2021,00:30:00,"","16.86","","5.62","","71","","49.3","*","10.19",""
6/30/2021,00:45:00,"","16.83","","5.63","","71","","49.0","*","10.16",""
6/30/2021,01:00:00,"","16.80","","5.62","","71","","49.0","*","10.17",""
6/30/2021,01:15:00,"","16.81","","5.62","","71","","49.1","*","10.13",""
6/30/2021,01:30:00,"","16.81","","5.61","","71","","49.0","*","10.04",""
6/30/2021,01:45:00,"","16.82","","5.61","","72","","49.4","*","10.02",""
6/30/2021,02:00:00,"","16.83","","5.61","","72","","49.0","*","10.09",""
6/30/2021,02:15:00,"","16.82","","5.61","","72","","48.9","*","10.09",""
6/30/2021,02:30:00,"","16.81","","5.60","","71","","49.0","*","10.06",""
6/30/2021,02:45:00,"","16.82","","5.60","","71","","49.0","*","10.04",""
6/30/2021,03:00:00,"","16.86","","5.61","","72","","49.0","*","10.08",""
6/30/2021,03:15:00,"","16.87","","5.61","","71","","49.1","*","9.94",""
6/30/2021,03:30:00,"","16.84","","5.61","","71","","48.9","*","9.94",""
6/30/2021,03:45:00,"","16.87","","5.60","","71","","49.1","*","9.91",""
6/30/2021,04:00:00,"","16.86","","5.61","","71","","49.0","*","9.93",""
6/30/2021,04:15:00,"","16.84","","5.60","","72","","48.9","*","9.93",""
6/30/2021,04:30:00,"","16.83","","5.60","","71","","48.8","*","9.81",""
6/30/2021,04:45:00,"","16.81","","5.59","","72","","48.9","*","9.83",""
6/30/2021,05:00:00,"","16.78","","5.59","","72","","48.9","*","9.86",""
6/30/2021,05:15:00,"","16.76","","5.60","","71","","48.9","*","9.64",""
6/30/2021,05:30:00,"","16.74","","5.60","","72","","48.9","*","9.77",""
