Hydrolab MS5 47418
"Log File Name : Miller_Creek_Buoy_47418_20210701"
"Setup Date (M/D/YYYY) : 7/1/2021"
"Setup Time (HH:MM:SS) : 11:01:45"
"Starting Date (M/D/YYYY) : 7/1/2021"
"Starting Time (HH:MM:SS) : 11:00:00"
"Stopping Date (M/D/YYYY) : 10/1/2021"
"Stopping Time (HH:MM:SS) : 11:00:00"
"Interval (HH:MM:SS) : 01:00:00"
"Sensor warmup (HH:MM:SS) : 00:00:45"
"Circltr warmup (HH:MM:SS) : 00:00:45"

"Date","Time","","Temp","","pH","","SpCond","","TurbSC","","LDO",""
"M/D/YYYY","HH:MM:SS","","°C","","Units","","µS/cm","","NTU","","mg/l",""

7/1/2021,11:00:00,"","17.50","","8.38","","77","","0.0","","0.11",""
7/1/2021,12:00:00,"","17.65","","8.31","","77","","0.0","","0.12",""
7/1/2021,13:00:00,"","17.81","","8.33","","77","","0.0","","0.12",""
7/1/2021,14:00:00,"","17.89","","8.35","","77","","0.0","","0.12",""
7/1/2021,15:00:00,"","17.99","","8.34","","77","","0.0","","0.12",""
7/1/2021,16:00:00,"","18.08","","8.35","","77","","0.0","","0.13",""
7/1/2021,17:00:00,"","18.18","","8.36","","77","","0.0","","0.13",""
7/1/2021,18:00:00,"","18.26","","8.37","","77","","0.0","","0.13",""
7/1/2021,19:00:00,"","18.26","","8.34","","77","","0.0","","0.13",""
7/1/2021,20:00:00,"","18.29","","8.33","","78","","0.0","","0.13",""
7/1/2021,21:00:00,"","18.28","","8.31","","78","","0.0","","0.13",""
7/1/2021,22:00:00,"","18.26","","8.32","","78","","0.0","","0.13",""
7/1/2021,23:00:00,"","18.21","","8.31","","78","","0.0","","0.13",""
7/2/2021,00:00:00,"","18.14","","8.27","","78","","0.0","","0.13",""
7/2/2021,01:00:00,"","18.05","","8.25","","78","","0.0","","0.13",""
7/2/2021,02:00:00,"","17.96","","8.26","","78","","0.0","","0.12",""
7/2/2021,03:00:00,"","17.89","","8.23","","78","","0.0","","0.12",""
7/2/2021,04:00:00,"","17.79","","8.23","","78","","0.0","","0.12",""
7/2/2021,05:00:00,"","17.66","","8.23","","78","","0.0","","0.12",""
7/2/2021,06:00:00,"","17.58","","8.19","","78","","0.0","","0.12",""
7/2/2021,07:00:00,"","17.48","","8.19","","78","","0.0","","0.11",""
7/2/2021,08:00:00,"","17.40","","8.16","","78","","0.0","","0.11",""
7/2/2021,09:00:00,"","17.44","","8.15","","78","","0.0","","0.11",""
7/2/2021,10:00:00,"","17.52","","8.11","","78","","0.0","","0.11",""
7/2/2021,11:00:00,"","17.72","","8.15","","78","","0.0","","0.12",""
7/2/2021,12:00:00,"","17.84","","8.17","","78","","0.0","","0.12",""
7/2/2021,13:00:00,"","18.06","","8.17","","78","","0.0","","0.13",""
7/2/2021,14:00:00,"","18.26","","8.21","","78","","0.0","","0.13",""
7/2/2021,15:00:00,"","18.35","","8.21","","78","","0.0","","0.13",""
7/2/2021,16:00:00,"","18.32","","8.19","","78","","0.0","","0.13",""
7/2/2021,17:00:00,"","18.25","","8.20","","78","","0.0","","0.13",""
7/2/2021,18:00:00,"","18.29","","8.20","","78","","0.0","","0.13",""
7/2/2021,19:00:00,"","18.18","","8.20","","78","","0.0","","0.13",""
7/2/2021,20:00:00,"","18.03","","8.19","","78","","0.0","","0.13",""
7/2/2021,21:00:00,"","17.92","","8.19","","78","","0.0","","0.12",""
7/2/2021,22:00:00,"","17.80","","8.19","","78","","0.0","","0.12",""
7/2/2021,23:00:00,"","17.71","","8.18","","78","","0.0","","0.12",""
7/3/2021,00:00:00,"","17.60","","8.17","","78","","0.0","","0.12",""
7/3/2021,01:00:00,"","17.52","","8.15","","78","","0.0","","0.11",""
7/3/2021,02:00:00,"","17.39","","8.13","","78","","0.0","","0.11",""
7/3/2021,03:00:00,"","17.29","","8.13","","78","","0.0","","0.11",""
7/3/2021,04:00:00,"","17.20","","8.12","","78","","0.0","","0.11",""
7/3/2021,05:00:00,"","17.11","","8.11","","78","","0.0","","0.10",""
7/3/2021,06:00:00,"","17.02","","8.09","","78","","0.0","","0.10",""
