Hydrolab MS5 46008
"Log File Name : Bird_Pond_2022_46008"
"Setup Date (M/D/YYYY) : 6/16/2022"
"Setup Time (HH:MM:SS) : 11:37:49"
"Starting Date (M/D/YYYY) : 6/16/2022"
"Starting Time (HH:MM:SS) : 16:00:00"
"Stopping Date (M/D/YYYY) : 9/15/2022"
"Stopping Time (HH:MM:SS) : 12:00:00"
"Interval (HH:MM:SS) : 01:00:00"
"Sensor warmup (HH:MM:SS) : 00:00:30"
"Circltr warmup (HH:MM:SS) : 00:00:30"

"Date","Time","","Temp","","pH","","SpCond","","TurbSC","","LDO%",""
"M/D/YYYY","HH:MM:SS","","°C","","Units","","µS/cm","","NTU","","Sat",""

6/16/2022,16:00:00,"","20.51","","7.77","","87","","0.0","","101.4",""
6/16/2022,17:00:00,"","20.68","","7.77","","86","","0.0","","102.1",""
6/16/2022,18:00:00,"","20.79","","7.78","","86","","0.0","","102.1",""
6/16/2022,19:00:00,"","20.87","","7.77","","86","","0.0","","102.1",""
6/16/2022,20:00:00,"","20.91","","7.78","","86","","0.4","","102.2",""
6/16/2022,21:00:00,"","20.87","","7.78","","86","","0.0","","102.6",""
6/16/2022,22:00:00,"","20.74","","7.79","","86","","1.1","","102.2",""
6/16/2022,23:00:00,"","20.60","","7.79","","86","","3.0","","101.7",""
6/17/2022,00:00:00,"","20.46","","7.78","","86","","3.6","","101.2",""
6/17/2022,01:00:00,"","20.28","","7.78","","86","","6.0","","100.9",""
6/17/2022,02:00:00,"","20.18","","7.78","","86","","5.3","","100.9",""
6/17/2022,03:00:00,"","20.09","","7.76","","86","","5.7","","100.5",""
6/17/2022,04:00:00,"","19.98","","7.75","","86","","5.4","","100.2",""
6/17/2022,05:00:00,"","19.87","","7.73","","86","","6.6","","99.6",""
6/17/2022,06:00:00,"","19.82","","7.72","","86","","6.0","","99.2",""
6/17/2022,07:00:00,"","19.77","","7.71","","86","","6.1","","99.0",""
6/17/2022,08:00:00,"","19.73","","7.72","","86","","6.5","","99.1",""
6/17/2022,09:00:00,"","19.71","","7.70","","86","","8.6","","98.9",""
6/17/2022,10:00:00,"","19.77","","7.66","","86","","12.2","","97.9",""
6/17/2022,11:00:00,"","19.75","","7.69","","86","","12.0","","98.8",""
6/17/2022,12:00:00,"","19.82","","7.69","","86","","14.2","","99.0",""
6/17/2022,13:00:00,"","19.98","","7.70","","86","","12.7","","99.5",""
6/17/2022,14:00:00,"","20.10","","7.70","","86","","13.2","","99.5",""
6/17/2022,15:00:00,"","20.24","","7.70","","86","","14.4","","99.9",""
6/17/2022,16:00:00,"","20.37","","7.71","","86","","13.7","","99.7",""
6/17/2022,17:00:00,"","20.47","","7.72","","86","","14.3","","100.3",""
6/17/2022,18:00:00,"","20.39","","7.73","","87","","14.0","","100.5",""
6/17/2022,19:00:00,"","20.37","","7.70","","86","","13.9","","100.5",""
6/17/2022,20:00:00,"","20.33","","7.73","","86","","14.3","","100.7",""
6/17/2022,21:00:00,"","20.25","","7.72","","86","","14.2","","100.3",""
6/17/2022,22:00:00,"","20.17","","7.73","","86","","4.7","","100.2",""
6/17/2022,23:00:00,"","20.08","","7.73","","86","","5.2","","99.8",""
6/18/2022,00:00:00,"","20.04","","7.72","","86","","4.8","","99.0",""
6/18/2022,01:00:00,"","19.97","","7.71","","86","","5.4","","99.2",""
6/18/2022,02:00:00,"","19.90","","7.71","","86","","5.6","","99.1",""
6/18/2022,03:00:00,"","19.84","","7.70","","86","","5.5","","98.6",""
6/18/2022,04:00:00,"","19.77","","7.71","","86","","6.7","","98.5",""
6/18/2022,05:00:00,"","19.73","","7.67","","86","","6.2","","98.8",""
6/18/2022,06:00:00,"","19.66","","7.66","","86","","5.9","","98.3",""
6/18/2022,07:00:00,"","19.60","","7.67","","87","","7.0","","98.3",""
6/18/2022,08:00:00,"","19.59","","7.67","","86","","8.1","","97.9",""
6/18/2022,09:00:00,"","19.57","","7.66","","86","","13.4","","98.0",""
6/18/2022,10:00:00,"","19.61","","7.65","","86","","13.7","","97.8",""
6/18/2022,11:00:00,"","19.63","","7.67","","86","","9.5","","99.0",""
6/18/2022,12:00:00,"","19.70","","7.68","","86","","14.0","","98.8",""
6/18/2022,13:00:00,"","19.76","","7.68","","86","","15.4","","98.4",""
6/18/2022,14:00:00,"","19.73","","7.67","","86","","14.8","","97.8",""
6/18/2022,15:00:00,"","19.69","","7.69","","87","","14.7","","90.9",""
6/18/2022,16:00:00,"","19.67","","7.68","","86","","14.9","","87.3",""
6/18/2022,17:00:00,"","19.66","","7.70","","87","","20.1","","88.2",""
6/18/2022,18:00:00,"","19.65","","7.70","","87","","15.2","","90.0",""
6/18/2022,19:00:00,"","19.63","","7.70","","86","","15.1","","94.2",""
6/18/2022,20:00:00,"","19.59","","7.69","","86","","15.8","","98.4",""
6/18/2022,21:00:00,"","19.55","","7.69","","86","","14.5","","98.9",""
6/18/2022,22:00:00,"","19.47","","7.72","","86","","15.0","","98.5",""
6/18/2022,23:00:00,"","19.41","","7.72","","86","","14.8","","99.0",""
6/19/2022,00:00:00,"","19.34","","7.70","","87","","10.5","","98.0",""
6/19/2022,01:00:00,"","19.27","","7.70","","86","","14.0","","98.7",""
6/19/2022,02:00:00,"","19.21","","7.68","","86","","14.2","","98.2",""
6/19/2022,03:00:00,"","19.15","","7.69","","86","","14.9","","98.3",""
6/19/2022,04:00:00,"","19.08","","7.67","","86","","15.4","","97.8",""
6/19/2022,05:00:00,"","19.03","","7.64","","86","","14.6","","97.4",""
6/19/2022,06:00:00,"","18.98","","7.65","","87","","14.3","","97.6",""
6/19/2022,07:00:00,"","18.96","","7.63","","86","","25.9","","97.2",""
6/19/2022,08:00:00,"","18.93","","7.63","","86","","27.7","","97.1",""
6/19/2022,09:00:00,"","18.91","","7.67","","86","","14.7","","96.9",""
6/19/2022,10:00:00,"","18.89","","7.66","","86","","29.6","","97.3",""
6/19/2022,11:00:00,"","18.92","","7.68","","86","","14.7","","97.2",""
6/19/2022,12:00:00,"","18.99","","7.66","","86","","15.6","","97.2",""
6/19/2022,13:00:00,"","19.06","","7.65","","86","","28.9","","97.2",""
6/19/2022,14:00:00,"","19.14","","7.67","","86","","27.2","","96.6",""
6/19/2022,15:00:00,"","19.18","","7.67","","83","","29.2","","97.7",""
6/19/2022,16:00:00,"","19.20","","7.67","","86","","19.5","","96.7",""
6/19/2022,17:00:00,"","19.27","","7.66","","87","","15.1","","97.6",""
6/19/2022,18:00:00,"","19.31","","7.66","","86","","14.9","","98.5",""
6/19/2022,19:00:00,"","19.39","","7.67","","86","","14.7","","98.3",""
6/19/2022,20:00:00,"","19.39","","7.66","","86","","12.5","","98.5",""
6/19/2022,21:00:00,"","19.32","","7.64","","87","","14.0","","97.5",""
6/19/2022,22:00:00,"","19.28","","7.69","","86","","16.7","","96.8",""
6/19/2022,23:00:00,"","19.22","","7.68","","87","","15.9","","97.8",""
6/20/2022,00:00:00,"","19.13","","7.64","","86","","25.8","","94.8",""
6/20/2022,01:00:00,"","19.06","","7.62","","86","","14.6","","95.2",""
6/20/2022,02:00:00,"","18.98","","7.52","","86","","29.0","","96.2",""
6/20/2022,03:00:00,"","18.89","","7.61","","86","","25.9","","96.4",""
6/20/2022,04:00:00,"","18.82","","7.57","","86","","26.1","","94.7",""
6/20/2022,05:00:00,"","18.73","","7.56","","86","","17.5","","93.6",""
6/20/2022,06:00:00,"","18.69","","7.56","","86","","15.9","","92.1",""
6/20/2022,07:00:00,"","18.64","","7.59","","87","","14.5","","95.0",""
6/20/2022,08:00:00,"","18.62","","7.56","","87","","29.3","","93.0",""
6/20/2022,09:00:00,"","18.66","","7.59","","86","","30.5","","92.0",""
6/20/2022,10:00:00,"","18.70","","7.70","","86","","29.3","","96.6",""
6/20/2022,11:00:00,"","18.72","","7.63","","86","","30.5","","94.5",""
6/20/2022,12:00:00,"","18.77","","7.62","","86","","30.7","","95.0",""
6/20/2022,13:00:00,"","18.83","","7.63","","86","","29.0","","94.2",""
6/20/2022,14:00:00,"","19.07","","7.64","","86","","15.5","","93.7",""
6/20/2022,15:00:00,"","19.22","","7.64","","86","","15.2","","93.6",""
6/20/2022,16:00:00,"","19.56","","7.64","","87","","28.4","","95.0",""
6/20/2022,17:00:00,"","19.03","","7.63","","86","","27.7","","96.4",""
6/20/2022,18:00:00,"","19.95","","7.64","","87","","18.2","","99.1",""
6/20/2022,19:00:00,"","20.05","","7.67","","86","","29.6","","98.7",""
6/20/2022,20:00:00,"","20.01","","7.66","","87","","15.6","","98.4",""
6/20/2022,21:00:00,"","19.97","","7.65","","87","","14.9","","98.6",""
6/20/2022,22:00:00,"","19.74","","7.64","","86","","27.4","","98.5",""
6/20/2022,23:00:00,"","19.81","","7.68","","87","","27.4","","99.4",""
6/21/2022,00:00:00,"","19.69","","7.70","","87","","17.0","","99.3",""
6/21/2022,01:00:00,"","19.57","","7.66","","86","","12.8","","97.6",""
6/21/2022,02:00:00,"","19.46","","7.52","","86","","15.0","","93.7",""
6/21/2022,03:00:00,"","19.34","","7.63","","87","","15.3","","96.3",""
6/21/2022,04:00:00,"","19.23","","7.59","","86","","18.2","","94.3",""
6/21/2022,05:00:00,"","19.10","","7.63","","86","","18.3","","97.0",""
6/21/2022,06:00:00,"","19.05","","7.51","","86","","29.0","","90.0",""
6/21/2022,07:00:00,"","18.99","","7.61","","87","","28.7","","95.4",""
6/21/2022,08:00:00,"","18.98","","7.63","","86","","28.4","","93.3",""
6/21/2022,09:00:00,"","19.00","","7.64","","86","","28.6","","67.6",""
6/21/2022,10:00:00,"","19.03","","7.59","","86","","27.9","","31.2",""
6/21/2022,11:00:00,"","19.08","","7.59","","86","","29.8","","31.6",""
6/21/2022,12:00:00,"","19.32","","7.61","","86","","28.1","","33.5",""
6/21/2022,13:00:00,"","19.57","","7.65","","86","","13.7","","50.0",""
6/21/2022,14:00:00,"","19.85","","7.66","","86","","13.1","","85.6",""
6/21/2022,15:00:00,"","19.53","","7.63","","86","","28.9","","77.2",""
6/21/2022,16:00:00,"","19.67","","7.61","","86","","29.1","","72.3",""
6/21/2022,17:00:00,"","19.79","","7.62","","87","","32.3","","77.7",""
6/21/2022,18:00:00,"","20.03","","7.65","","86","","30.9","","84.8",""
6/21/2022,19:00:00,"","20.06","","7.61","","86","","30.3","","91.7",""
6/21/2022,20:00:00,"","19.82","","7.59","","86","","17.2","","91.1",""
6/21/2022,21:00:00,"","20.11","","7.63","","86","","33.0","","91.1",""
6/21/2022,22:00:00,"","20.07","","7.60","","86","","15.6","","89.6",""
6/21/2022,23:00:00,"","20.10","","7.59","","86","","23.9","","88.4",""
6/22/2022,00:00:00,"","20.10","","7.43","","88","","29.9","","82.1",""
6/22/2022,01:00:00,"","20.22","","7.51","","86","","28.3","","85.9",""
6/22/2022,02:00:00,"","20.10","","7.45","","86","","29.4","","77.1",""
6/22/2022,03:00:00,"","19.95","","7.38","","86","","22.6","","80.6",""
6/22/2022,04:00:00,"","20.34","","7.42","","86","","29.4","","81.4",""
6/22/2022,05:00:00,"","20.21","","7.61","","87","","18.6","","87.9",""
6/22/2022,06:00:00,"","19.97","","7.51","","87","","14.6","","82.0",""
6/22/2022,07:00:00,"","19.99","","7.61","","87","","14.5","","82.2",""
6/22/2022,08:00:00,"","19.99","","7.61","","87","","14.5","","76.5",""
6/22/2022,09:00:00,"","20.07","","7.52","","87","","15.0","","71.3",""
6/22/2022,10:00:00,"","20.01","","7.60","","87","","15.4","","82.4",""
6/22/2022,11:00:00,"","20.02","","7.55","","87","","14.5","","85.8",""
6/22/2022,12:00:00,"","20.36","","7.62","","86","","13.8","","88.8",""
6/22/2022,13:00:00,"","20.54","","7.54","","87","","14.3","","84.6",""
6/22/2022,14:00:00,"","20.20","","7.59","","86","","16.1","","81.7",""
6/22/2022,15:00:00,"","20.34","","7.58","","87","","14.3","","86.1",""
