MiniSonde 46440
"Log File Name : Vogel_Lake_Outlet_2022_46440"
"Setup Date (M/D/YYYY) : 6/17/2022"
"Setup Time (HH:MM:SS) : 13:04:07"
"Starting Date (M/D/YYYY) : 6/17/2022"
"Starting Time (HH:MM:SS) : 15:00:00"
"Stopping Date (M/D/YYYY) : 9/15/2022"
"Stopping Time (HH:MM:SS) : 12:00:00"
"Interval (HH:MM:SS) : 01:00:00"
"Sensor warmup (HH:MM:SS) : 00:00:30"
"Circltr warmup (HH:MM:SS) : 00:00:30"

"Date","Time","","Temp","","SpCond","","TurbSC","","LDO","","pH",""
"M/D/YYYY","HH:MM:SS","","°C","","µS/cm","","NTU","","mg/l","","Units",""

6/17/2022,15:00:00,"","19.57","","74","","0.0","","9.00","","7.33",""
6/17/2022,16:00:00,"","19.68","","74","","0.0","","9.00","","7.36",""
6/17/2022,17:00:00,"","19.67","","74","","0.0","","9.26","","7.36",""
6/17/2022,18:00:00,"","19.71","","74","","0.0","","9.22","","7.34",""
6/17/2022,19:00:00,"","19.60","","74","","0.0","","9.23","","7.35",""
6/17/2022,20:00:00,"","19.52","","74","","0.0","","9.32","","7.35",""
6/17/2022,21:00:00,"","19.48","","74","","0.0","","9.27","","7.29",""
6/17/2022,22:00:00,"","19.35","","74","","0.0","","9.22","","7.23",""
6/17/2022,23:00:00,"","19.23","","74","","0.0","","9.14","","7.25",""
6/18/2022,00:00:00,"","19.12","","74","","0.0","","8.99","","7.24",""
6/18/2022,01:00:00,"","19.00","","74","","0.0","","8.95","","7.24",""
6/18/2022,02:00:00,"","18.87","","74","","0.0","","8.83","","7.22",""
6/18/2022,03:00:00,"","18.78","","74","","0.0","","8.57","","7.18",""
6/18/2022,04:00:00,"","18.66","","74","","0.0","","8.43","","7.12",""
6/18/2022,05:00:00,"","18.55","","74","","0.0","","8.15","","7.10",""
6/18/2022,06:00:00,"","18.42","","74","","0.0","","8.12","","7.07",""
6/18/2022,07:00:00,"","18.31","","75","","0.0","","8.17","","7.09",""
6/18/2022,08:00:00,"","18.26","","74","","0.0","","8.04","","7.06",""
6/18/2022,09:00:00,"","18.26","","75","","0.0","","8.08","","7.07",""
6/18/2022,10:00:00,"","18.29","","74","","0.0","","8.02","","7.04",""
6/18/2022,11:00:00,"","18.45","","74","","0.0","","8.14","","7.04",""
6/18/2022,12:00:00,"","18.68","","74","","0.0","","8.52","","7.17",""
6/18/2022,13:00:00,"","19.01","","74","","0.0","","8.69","","7.23",""
6/18/2022,14:00:00,"","19.09","","74","","0.0","","8.80","","7.26",""
6/18/2022,15:00:00,"","19.05","","74","","0.0","","8.80","","7.29",""
6/18/2022,16:00:00,"","18.99","","74","","0.0","","8.84","","7.28",""
6/18/2022,17:00:00,"","18.94","","74","","0.0","","8.87","","7.27",""
6/18/2022,18:00:00,"","18.90","","74","","0.0","","8.87","","7.24",""
6/18/2022,19:00:00,"","18.89","","74","","0.0","","8.93","","7.18",""
6/18/2022,20:00:00,"","18.84","","74","","0.0","","8.94","","7.17",""
6/18/2022,21:00:00,"","18.74","","74","","0.0","","8.87","","7.18",""
6/18/2022,22:00:00,"","18.60","","74","","0.0","","8.78","","7.17",""
6/18/2022,23:00:00,"","18.49","","74","","0.0","","8.67","","7.15",""
6/19/2022,00:00:00,"","18.39","","74","","0.0","","8.50","","7.13",""
6/19/2022,01:00:00,"","18.22","","74","","0.0","","8.44","","7.10",""
6/19/2022,02:00:00,"","18.10","","74","","0.0","","8.34","","7.06",""
6/19/2022,03:00:00,"","17.94","","74","","0.0","","8.25","","7.05",""
6/19/2022,04:00:00,"","17.83","","74","","0.0","","8.17","","7.06",""
6/19/2022,05:00:00,"","17.75","","74","","0.0","","8.07","","7.04",""
6/19/2022,06:00:00,"","17.65","","74","","0.0","","7.96","","7.04",""
6/19/2022,07:00:00,"","17.61","","74","","0.0","","7.83","","7.03",""
6/19/2022,08:00:00,"","17.53","","74","","0.0","","7.78","","7.00",""
6/19/2022,09:00:00,"","17.48","","74","","0.0","","7.90","","7.01",""
6/19/2022,10:00:00,"","17.44","","74","","0.0","","7.83","","6.98",""
6/19/2022,11:00:00,"","17.49","","74","","0.0","","7.98","","7.00",""
6/19/2022,12:00:00,"","17.61","","74","","0.0","","7.91","","6.96",""
6/19/2022,13:00:00,"","17.80","","74","","0.0","","8.16","","7.02",""
6/19/2022,14:00:00,"","18.14","","74","","0.0","","8.51","","7.12",""
6/19/2022,15:00:00,"","18.46","","74","","0.0","","8.70","","7.21",""
6/19/2022,16:00:00,"","18.60","","74","","0.0","","8.89","","7.34",""
6/19/2022,17:00:00,"","18.70","","74","","0.0","","8.93","","7.32",""
6/19/2022,18:00:00,"","18.88","","74","","0.0","","8.98","","7.35",""
6/19/2022,19:00:00,"","18.97","","74","","0.0","","9.03","","7.35",""
6/19/2022,20:00:00,"","18.89","","74","","0.0","","9.02","","7.38",""
6/19/2022,21:00:00,"","18.76","","74","","0.0","","9.06","","7.35",""
6/19/2022,22:00:00,"","18.69","","73","","0.0","","9.03","","7.34",""
6/19/2022,23:00:00,"","18.56","","73","","0.0","","9.00","","7.28",""
6/20/2022,00:00:00,"","18.41","","73","","0.0","","8.94","","7.26",""
6/20/2022,01:00:00,"","18.30","","74","","0.0","","8.77","","7.22",""
6/20/2022,02:00:00,"","18.14","","73","","0.0","","8.65","","7.17",""
6/20/2022,03:00:00,"","17.99","","74","","0.0","","8.40","","7.13",""
6/20/2022,04:00:00,"","17.83","","74","","0.0","","8.26","","7.10",""
6/20/2022,05:00:00,"","17.65","","74","","0.0","","7.99","","7.07",""
