Hydrolab MS5 46005,,,,,,,
Log File Name : 46005_Miller_NaCl,,,,,,,
Setup Date (M/D/YYYY) : 9/15/2021,,,,,,,
Setup Time (HH:MM:SS) : 16:00:18,,,,,,,
Starting Date (M/D/YYYY) : 9/15/2021,,,,,,,
Starting Time (HH:MM:SS) : 17:00:18,,,,,,,
Stopping Date (M/D/YYYY) : 9/20/2021,,,,,,,
Stopping Time (HH:MM:SS) : 17:00:18,,,,,,,
Interval (HH:MM:SS) : 00:15:00,,,,,,,
Sensor warmup (HH:MM:SS) : 00:01:00,,,,,,,
Circltr warmup (HH:MM:SS) : 00:01:00,,,,,,,
,,,,,,,
Date,Time,,Temp,,SpCond,,pH
M/D/YYYY,HH:MM:SS,,?C,,?S/cm,,Units
,,,,,,,
9/15/2021,17:00:18,,12.08,,81,,6.55
9/15/2021,17:15:18,,12.09,,81,,6.55
9/15/2021,17:30:18,,12.09,,81,,6.56
9/15/2021,17:45:18,,12.09,,81,,6.56
9/15/2021,18:00:18,,12.09,,81,,6.57
9/15/2021,18:15:18,,12.08,,80,,6.57
9/15/2021,18:30:18,,12.07,,81,,6.57
9/15/2021,18:45:18,,12.06,,80,,6.57
9/15/2021,19:00:18,,12.04,,80,,6.58
9/15/2021,19:15:18,,12.02,,81,,6.58
9/15/2021,19:30:18,,12,,80,,6.58
9/15/2021,19:45:18,,11.96,,81,,6.59
9/15/2021,20:00:18,,11.93,,80,,6.59
9/15/2021,20:15:18,,11.9,,80,,6.6
9/15/2021,20:30:18,,11.86,,80,,6.6
9/15/2021,20:45:18,,11.82,,80,,6.6
9/15/2021,21:00:18,,11.78,,80,,6.6
9/15/2021,21:15:18,,11.74,,80,,6.61
9/15/2021,21:30:18,,11.7,,80,,6.61
9/15/2021,21:45:18,,11.66,,80,,6.61
9/15/2021,22:00:18,,11.62,,80,,6.61
9/15/2021,22:15:18,,11.58,,82,,6.61
9/15/2021,22:30:18,,11.54,,85,,6.61
9/15/2021,22:45:18,,11.5,,89,,6.61
9/15/2021,23:00:18,,11.45,,92,,6.61
9/15/2021,23:15:18,,11.4,,95,,6.61
9/15/2021,23:30:18,,11.36,,97,,6.61
9/15/2021,23:45:18,,11.31,,99,,6.61
9/16/2021,0:00:18,,11.27,,101,,6.61
9/16/2021,0:15:18,,11.23,,101,,6.61
9/16/2021,0:30:18,,11.19,,101,,6.61
9/16/2021,0:45:18,,11.15,,102,,6.61
9/16/2021,1:00:18,,11.11,,102,,6.62
9/16/2021,1:15:18,,11.07,,102,,6.62
9/16/2021,1:30:18,,11.03,,103,,6.62
9/16/2021,1:45:18,,11,,102,,6.61
9/16/2021,2:00:18,,10.96,,101,,6.62
9/16/2021,2:15:18,,10.93,,101,,6.62
9/16/2021,2:30:18,,10.9,,100,,6.62
9/16/2021,2:45:18,,10.86,,99,,6.62
9/16/2021,3:00:18,,10.84,,99,,6.62
9/16/2021,3:15:18,,10.81,,97,,6.62
9/16/2021,3:30:18,,10.78,,97,,6.62
9/16/2021,3:45:18,,10.75,,96,,6.62
9/16/2021,4:00:18,,10.72,,95,,6.62
9/16/2021,4:15:18,,10.7,,94,,6.62
9/16/2021,4:30:18,,10.67,,93,,6.62
9/16/2021,4:45:18,,10.64,,93,,6.62
9/16/2021,5:00:18,,10.62,,92,,6.62
9/16/2021,5:15:18,,10.59,,92,,6.62
9/16/2021,5:30:18,,10.57,,91,,6.62
9/16/2021,5:45:18,,10.55,,90,,6.62
9/16/2021,6:00:18,,10.53,,90,,6.62
9/16/2021,6:15:18,,10.5,,90,,6.63
9/16/2021,6:30:18,,10.48,,89,,6.62
9/16/2021,6:45:18,,10.46,,89,,6.63
9/16/2021,7:00:18,,10.44,,88,,6.63
9/16/2021,7:15:18,,10.42,,88,,6.63
9/16/2021,7:30:18,,10.4,,87,,6.63
9/16/2021,7:45:18,,10.39,,87,,6.63
9/16/2021,8:00:18,,10.36,,87,,6.63
9/16/2021,8:15:18,,10.34,,86,,6.63
9/16/2021,8:30:18,,10.33,,86,,6.63
9/16/2021,8:45:18,,10.31,,86,,6.63
9/16/2021,9:00:18,,10.3,,85,,6.63
9/16/2021,9:15:18,,10.28,,85,,6.63
9/16/2021,9:30:18,,10.27,,85,,6.63
9/16/2021,9:45:18,,10.26,,85,,6.63
9/16/2021,10:00:18,,10.25,,84,,6.63
9/16/2021,10:15:18,,10.24,,84,,6.63
9/16/2021,10:30:18,,10.24,,84,,6.63
9/16/2021,10:45:18,,10.25,,84,,6.64
9/16/2021,11:00:18,,10.25,,83,,6.64
9/16/2021,11:15:18,,10.26,,84,,6.64
9/16/2021,11:30:18,,10.28,,83,,6.64
9/16/2021,11:45:18,,10.3,,83,,6.64
9/16/2021,12:00:18,,10.33,,83,,6.65
9/16/2021,12:15:18,,10.37,,83,,6.65
9/16/2021,12:30:18,,10.41,,83,,6.65
9/16/2021,12:45:18,,10.45,,83,,6.65
9/16/2021,13:00:18,,10.48,,82,,6.66
9/16/2021,13:15:18,,10.51,,82,,6.66
9/16/2021,13:30:18,,10.56,,82,,6.66
9/16/2021,13:45:18,,10.6,,82,,6.66
9/16/2021,14:00:18,,10.65,,82,,6.66
9/16/2021,14:15:18,,10.7,,82,,6.66
9/16/2021,14:30:18,,10.74,,82,,6.67
9/16/2021,14:45:18,,10.77,,82,,6.67
9/16/2021,15:00:18,,10.8,,82,,6.67
9/16/2021,15:15:18,,10.84,,82,,6.67
9/16/2021,15:30:18,,10.88,,82,,6.67
9/16/2021,15:45:18,,10.91,,81,,6.67
9/16/2021,16:00:18,,10.95,,81,,6.67
9/16/2021,16:15:18,,10.99,,81,,6.67
9/16/2021,16:30:18,,11.02,,81,,6.68
9/16/2021,16:45:18,,11.05,,81,,6.67
9/16/2021,17:00:18,,11.07,,81,,6.67
9/16/2021,17:15:18,,11.09,,81,,6.68
9/16/2021,17:30:18,,11.1,,81,,6.67
9/16/2021,17:45:18,,11.11,,81,,6.67
