MiniSonde5 64821,,,,,
Log File Name : 64821_Miller_NaCl,,,,,
Setup Date (M/D/YYYY) : 9/15/2021,,,,,
Setup Time (HH:MM:SS) : 16:15:26,,,,,
Starting Date (M/D/YYYY) : 9/15/2021,,,,,
Starting Time (HH:MM:SS) : 17:00:00,,,,,
Stopping Date (M/D/YYYY) : 9/20/2021,,,,,
Stopping Time (HH:MM:SS) : 17:15:26,,,,,
Interval (HH:MM:SS) : 00:15:00,,,,,
Sensor warmup (HH:MM:SS) : 00:01:00,,,,,
Circltr warmup (HH:MM:SS) : 00:01:00,,,,,
,,,,,
Date,Time,,Temp,,SpCond
M/D/YYYY,HH:MM:SS,,?C,,?S/cm
,,,,,
9/15/2021,17:00:00,,12.09,,82
9/15/2021,17:15:00,,12.1,,82
9/15/2021,17:30:00,,12.1,,81
9/15/2021,17:45:00,,12.1,,81
9/15/2021,18:00:00,,12.1,,82
9/15/2021,18:15:00,,12.09,,81
9/15/2021,18:30:00,,12.08,,82
9/15/2021,18:45:00,,12.07,,81
9/15/2021,19:00:00,,12.05,,81
9/15/2021,19:15:00,,12.03,,81
9/15/2021,19:30:00,,12,,81
9/15/2021,19:45:00,,11.97,,81
9/15/2021,20:00:00,,11.94,,81
9/15/2021,20:15:00,,11.9,,81
9/15/2021,20:30:00,,11.87,,81
9/15/2021,20:45:00,,11.83,,81
9/15/2021,21:00:00,,11.79,,81
9/15/2021,21:15:00,,11.75,,81
9/15/2021,21:30:00,,11.71,,81
9/15/2021,21:45:00,,11.67,,81
9/15/2021,22:00:00,,11.62,,81
9/15/2021,22:15:00,,11.58,,83
9/15/2021,22:30:00,,11.54,,86
9/15/2021,22:45:00,,11.5,,91
9/15/2021,23:00:00,,11.46,,94
9/15/2021,23:15:00,,11.41,,96
9/15/2021,23:30:00,,11.36,,99
9/15/2021,23:45:00,,11.32,,100
9/16/2021,0:00:00,,11.28,,102
9/16/2021,0:15:00,,11.23,,102
9/16/2021,0:30:00,,11.19,,102
9/16/2021,0:45:00,,11.15,,103
9/16/2021,1:00:00,,11.11,,104
9/16/2021,1:15:00,,11.07,,103
9/16/2021,1:30:00,,11.04,,104
9/16/2021,1:45:00,,11,,103
9/16/2021,2:00:00,,10.96,,103
9/16/2021,2:15:00,,10.93,,102
9/16/2021,2:30:00,,10.9,,101
9/16/2021,2:45:00,,10.87,,100
9/16/2021,3:00:00,,10.84,,99
9/16/2021,3:15:00,,10.82,,98
9/16/2021,3:30:00,,10.78,,97
9/16/2021,3:45:00,,10.75,,96
9/16/2021,4:00:00,,10.73,,96
9/16/2021,4:15:00,,10.7,,95
9/16/2021,4:30:00,,10.68,,94
9/16/2021,4:45:00,,10.65,,93
9/16/2021,5:00:00,,10.62,,93
9/16/2021,5:15:00,,10.6,,92
9/16/2021,5:30:00,,10.58,,91
9/16/2021,5:45:00,,10.56,,91
9/16/2021,6:00:00,,10.54,,90
9/16/2021,6:15:00,,10.51,,90
9/16/2021,6:30:00,,10.5,,90
