HYDROLAB MS5 64822,,,,,,,
Log File Name : Miller_Creek_Buoy_64822_20210629,,,,,,,
Setup Date (M/D/YYYY) : 6/29/2021,,,,,,,
Setup Time (HH:MM:SS) : 17:49:21,,,,,,,
Starting Date (M/D/YYYY) : 6/29/2021,,,,,,,
Starting Time (HH:MM:SS) : 19:00:00,,,,,,,
Stopping Date (M/D/YYYY) : 9/29/2021,,,,,,,
Stopping Time (HH:MM:SS) : 19:00:00,,,,,,,
Interval (HH:MM:SS) : 00:15:00,,,,,,,
Sensor warmup (HH:MM:SS) : 00:02:00,,,,,,,
Circltr warmup (HH:MM:SS) : 00:02:00,,,,,,,
,,,,,,,
Date,Time,Temp,pH,SpCond,TurbSC,LDO,
M/D/YYYY,HH:MM:SS,?C,Units,?S/cm,NTU,mg/l,LoggerID
,,,,,,,
6/29/2021,19:00:00,17.63,5.49,72,49.5,10.25,64822
6/29/2021,19:15:00,17.66,5.51,72,49.5,10.22,64822
6/29/2021,19:30:00,17.66,5.52,71,49.3,10.26,64822
6/29/2021,19:45:00,17.24,5.54,72,49.3,10.31,64822
6/29/2021,20:00:00,17.22,5.56,72,49.3,10.32,64822
6/29/2021,20:15:00,17.2,5.57,72,49.3,10.41,64822
6/29/2021,20:30:00,17.17,5.58,72,49.3,10.34,64822
6/29/2021,20:45:00,17.17,5.59,71,49.3,10.39,64822
6/29/2021,21:00:00,17.14,5.6,71,49.2,10.34,64822
6/29/2021,21:15:00,17.14,5.61,71,49.2,10.27,64822
6/29/2021,21:30:00,17.12,5.61,72,49.2,10.26,64822
6/29/2021,21:45:00,17.11,5.62,72,49.9,10.32,64822
6/29/2021,22:00:00,17.09,5.62,72,49.1,10.29,64822
6/29/2021,22:15:00,17.07,5.63,72,49,10.28,64822
6/29/2021,22:30:00,17.07,5.64,71,49,10.28,64822
6/29/2021,22:45:00,17.08,5.63,72,49.1,10.28,64822
6/29/2021,23:00:00,17.06,5.63,71,49,10.29,64822
6/29/2021,23:15:00,17.02,5.63,71,50.2,10.27,64822
6/29/2021,23:30:00,16.97,5.63,71,49,10.26,64822
6/29/2021,23:45:00,16.95,5.62,72,49,10.23,64822
6/30/2021,0:00:00,16.93,5.63,72,49,10.21,64822
6/30/2021,0:15:00,16.89,5.63,72,49.2,10.24,64822
6/30/2021,0:30:00,16.86,5.62,71,49.3,10.19,64822
6/30/2021,0:45:00,16.83,5.63,71,49,10.16,64822
6/30/2021,1:00:00,16.8,5.62,71,49,10.17,64822
6/30/2021,1:15:00,16.81,5.62,71,49.1,10.13,64822
6/30/2021,1:30:00,16.81,5.61,71,49,10.04,64822
6/30/2021,1:45:00,16.82,5.61,72,49.4,10.02,64822
