HYDROLAB MS5 64822,,,,,,,,
Log File Name : Miller_Creek_Buoy_64822_20210701,,,,,,,,
Setup Date (M/D/YYYY) : 7/1/2021,,,,,,,,
Setup Time (HH:MM:SS) : 10:40:50,,,,,,,,
Starting Date (M/D/YYYY) : 7/1/2021,,,,,,,,
Starting Time (HH:MM:SS) : 11:00:00,,,,,,,,
Stopping Date (M/D/YYYY) : 10/1/2021,,,,,,,,
Stopping Time (HH:MM:SS) : 11:00:00,,,,,,,,
Interval (HH:MM:SS) : 01:00:00,,,,,,,,
Sensor warmup (HH:MM:SS) : 00:00:45,,,,,,,,
Circltr warmup (HH:MM:SS) : 00:00:45,,,,,,,,
,,,,,,,,
Date,Time,Temp,pH,SpCond,TurbSC,LDO,,
M/D/YYYY,HH:MM:SS,?C,Units,?S/cm,NTU,mg/l,LoggerID,
,,,,,,,,
7/1/2021,11:00:00,17.37,5.62,72,49.1,9.64,64822, 
7/1/2021,12:00:00,17.73,5.64,72,49.8,9.94,64822,
7/1/2021,13:00:00,17.84,5.65,72,48.5,9.98,64822,
7/1/2021,14:00:00,17.99,5.65,72,48.4,10,64822,
7/1/2021,15:00:00,18.1,5.64,72,48.4,10.1,64822,
7/1/2021,16:00:00,18.17,5.65,72,48.3,10.27,64822,
7/1/2021,17:00:00,18.26,5.67,72,48.3,10.26,64822,
7/1/2021,18:00:00,18.3,5.69,72,48.3,10.29,64822,
7/1/2021,19:00:00,18.33,5.69,72,48.3,10.22,64822,
7/1/2021,20:00:00,18.33,5.7,72,48.3,10.26,64822,
7/1/2021,21:00:00,18.36,5.7,72,48.1,10.16,64822,
7/1/2021,22:00:00,18.31,5.69,73,48.1,10.07,64822,
7/1/2021,23:00:00,18.26,5.68,73,48.1,9.98,64822,
7/2/2021,0:00:00,18.18,5.64,72,48.4,9.81,64822,
7/2/2021,1:00:00,18.1,5.62,73,48.1,9.73,64822,
7/2/2021,2:00:00,18.01,5.6,73,48,9.61,64822,
7/2/2021,3:00:00,17.93,5.58,73,48.1,9.52,64822,
7/2/2021,4:00:00,17.85,5.58,72,48.1,9.56,64822,
7/2/2021,5:00:00,17.73,5.57,72,48.3,9.5,64822,
7/2/2021,6:00:00,17.64,5.55,72,48.2,9.47,64822,
7/2/2021,7:00:00,17.52,5.54,72,48.2,9.31,64822,
7/2/2021,8:00:00,17.45,5.52,72,48.3,9.08,64822,
7/2/2021,9:00:00,17.5,5.51,73,48.2,8.87,64822,
7/2/2021,10:00:00,17.59,5.48,73,48.3,8.98,64822,
7/2/2021,11:00:00,17.78,5.47,73,48.3,9.18,64822,
7/2/2021,12:00:00,17.9,5.47,73,48.3,9.35,64822,
7/2/2021,13:00:00,18.13,5.45,72,48.2,9.39,64822,
7/2/2021,14:00:00,18.31,5.47,72,48.1,9.57,64822,
7/2/2021,15:00:00,18.4,5.47,72,48.1,9.55,64822,
7/2/2021,16:00:00,18.37,5.47,72,48.2,9.5,64822,
7/2/2021,17:00:00,18.32,5.49,72,48.7,9.43,64822,
7/2/2021,18:00:00,18.34,5.5,72,48.1,9.48,64822,
