MiniSonde 46440,,,,,,,
Log File Name : Vogel_Lake_Outlet_2022_46440,,,,,,,
Setup Date (M/D/YYYY) : 6/17/2022,,,,,,,
Setup Time (HH:MM:SS) : 13:04:07,,,,,,,
Starting Date (M/D/YYYY) : 6/17/2022,,,,,,,
Starting Time (HH:MM:SS) : 15:00:00,,,,,,,
Stopping Date (M/D/YYYY) : 9/15/2022,,,,,,,
Stopping Time (HH:MM:SS) : 12:00:00,,,,,,,
Interval (HH:MM:SS) : 01:00:00,,,,,,,
Sensor warmup (HH:MM:SS) : 00:00:30,,,,,,,
Circltr warmup (HH:MM:SS) : 00:00:30,,,,,,,
,,,,,,,
Date,Time,Temp,SpCond,TurbSC,LDO,pH,
M/D/YYYY,HH:MM:SS,?C,?S/cm,NTU,mg/l,Units,LoggerID
,,,,,,,
6/17/2022,15:00:00,19.57,74,0,9,7.33,46440
6/17/2022,16:00:00,19.68,74,0,9,7.36,46440
6/17/2022,17:00:00,19.67,74,0,9.26,7.36,46440
6/17/2022,18:00:00,19.71,74,0,9.22,7.34,46440
6/17/2022,19:00:00,19.6,74,0,9.23,7.35,46440
6/17/2022,20:00:00,19.52,74,0,9.32,7.35,46440
6/17/2022,21:00:00,19.48,74,0,9.27,7.29,46440
6/17/2022,22:00:00,19.35,74,0,9.22,7.23,46440
6/17/2022,23:00:00,19.23,74,0,9.14,7.25,46440
6/18/2022,0:00:00,19.12,74,0,8.99,7.24,46440
6/18/2022,1:00:00,19,74,0,8.95,7.24,46440
6/18/2022,2:00:00,18.87,74,0,8.83,7.22,46440
6/18/2022,3:00:00,18.78,74,0,8.57,7.18,46440
6/18/2022,4:00:00,18.66,74,0,8.43,7.12,46440
6/18/2022,5:00:00,18.55,74,0,8.15,7.1,46440
6/18/2022,6:00:00,18.42,74,0,8.12,7.07,46440
6/18/2022,7:00:00,18.31,75,0,8.17,7.09,46440
6/18/2022,8:00:00,18.26,74,0,8.04,7.06,46440
6/18/2022,9:00:00,18.26,75,0,8.08,7.07,46440
6/18/2022,10:00:00,18.29,74,0,8.02,7.04,46440
6/18/2022,11:00:00,18.45,74,0,8.14,7.04,46440
6/18/2022,12:00:00,18.68,74,0,8.52,7.17,46440
6/18/2022,13:00:00,19.01,74,0,8.69,7.23,46440
6/18/2022,14:00:00,19.09,74,0,8.8,7.26,46440
6/18/2022,15:00:00,19.05,74,0,8.8,7.29,46440
6/18/2022,16:00:00,18.99,74,0,8.84,7.28,46440
6/18/2022,17:00:00,18.94,74,0,8.87,7.27,46440
6/18/2022,18:00:00,18.9,74,0,8.87,7.24,46440
6/18/2022,19:00:00,18.89,74,0,8.93,7.18,46440
6/18/2022,20:00:00,18.84,74,0,8.94,7.17,46440
6/18/2022,21:00:00,18.74,74,0,8.87,7.18,46440
6/18/2022,22:00:00,18.6,74,0,8.78,7.17,46440
6/18/2022,23:00:00,18.49,74,0,8.67,7.15,46440
6/19/2022,0:00:00,18.39,74,0,8.5,7.13,46440
6/19/2022,1:00:00,18.22,74,0,8.44,7.1,46440
6/19/2022,2:00:00,18.1,74,0,8.34,7.06,46440
6/19/2022,3:00:00,17.94,74,0,8.25,7.05,46440
6/19/2022,4:00:00,17.83,74,0,8.17,7.06,46440
6/19/2022,5:00:00,17.75,74,0,8.07,7.04,46440
6/19/2022,6:00:00,17.65,74,0,7.96,7.04,46440
6/19/2022,7:00:00,17.61,74,0,7.83,7.03,46440
6/19/2022,8:00:00,17.53,74,0,7.78,7,46440
6/19/2022,9:00:00,17.48,74,0,7.9,7.01,46440
6/19/2022,10:00:00,17.44,74,0,7.83,6.98,46440
6/19/2022,11:00:00,17.49,74,0,7.98,7,46440
6/19/2022,12:00:00,17.61,74,0,7.91,6.96,46440
6/19/2022,13:00:00,17.8,74,0,8.16,7.02,46440
6/19/2022,14:00:00,18.14,74,0,8.51,7.12,46440
6/19/2022,15:00:00,18.46,74,0,8.7,7.21,46440
