HYDROLAB MS5 65979,,,,,,,
Log File Name : Vodel_Lake_Outlet_2022_65979,,,,,,,
Setup Date (M/D/YYYY) : 6/17/2022,,,,,,,
Setup Time (HH:MM:SS) : 13:10:27,,,,,,,
Starting Date (M/D/YYYY) : 6/17/2022,,,,,,,
Starting Time (HH:MM:SS) : 15:00:00,,,,,,,
Stopping Date (M/D/YYYY) : 9/15/2022,,,,,,,
Stopping Time (HH:MM:SS) : 12:00:00,,,,,,,
Interval (HH:MM:SS) : 01:00:00,,,,,,,
Sensor warmup (HH:MM:SS) : 00:00:30,,,,,,,
Circltr warmup (HH:MM:SS) : 00:00:30,,,,,,,
,,,,,,,
Date,Time,Temp,pH,SpCond,TurbSC,LDO,
M/D/YYYY,HH:MM:SS,?C,Units,?S/cm,NTU,mg/l,LoggerID
,,,,,,,
6/17/2022,15:00:00,19.56,7.47,78,1.9,0,65979
6/17/2022,16:00:00,19.73,7.48,77,7.6,0,65979
6/17/2022,17:00:00,19.78,7.49,77,10.6,0,65979
6/17/2022,18:00:00,19.81,7.49,77,14.7,0,65979
6/17/2022,19:00:00,19.73,7.49,77,19.4,0,65979
6/17/2022,20:00:00,19.66,7.49,77,24.2,0,65979
6/17/2022,21:00:00,19.6,7.39,77,27.2,0,65979
6/17/2022,22:00:00,19.45,7.39,77,27.2,0,65979
6/17/2022,23:00:00,19.32,7.37,77,30.2,0,65979
6/18/2022,0:00:00,19.22,7.4,77,34.9,0,65979
6/18/2022,1:00:00,19.1,7.39,77,38.7,0,65979
6/18/2022,2:00:00,18.99,7.37,77,39.4,0,65979
6/18/2022,3:00:00,18.88,7.33,78,38.2,0,65979
6/18/2022,4:00:00,18.77,7.27,77,40.8,0,65979
6/18/2022,5:00:00,18.65,7.25,78,38,0,65979
6/18/2022,6:00:00,18.53,7.21,78,40.9,0,65979
6/18/2022,7:00:00,18.43,7.2,78,42.8,0,65979
6/18/2022,8:00:00,18.36,7.2,78,46.2,0,65979
6/18/2022,9:00:00,18.35,7.2,78,45.5,0,65979
6/18/2022,10:00:00,18.4,7.16,78,46,0,65979
6/18/2022,11:00:00,18.55,7.09,78,46.3,0,65979
6/18/2022,12:00:00,18.61,7.17,78,47,0,65979
6/18/2022,13:00:00,18.91,7.23,78,51.9,0,65979
6/18/2022,14:00:00,19.1,7.35,78,51.8,0,65979
6/18/2022,15:00:00,19.14,7.45,78,53.3,0,65979
6/18/2022,16:00:00,19.08,7.46,77,62.7,0,65979
6/18/2022,17:00:00,19.03,7.43,77,60.2,0,65979
6/18/2022,18:00:00,19,7.42,77,64.7,0,65979
6/18/2022,19:00:00,18.98,7.37,77,64.8,0,65979
6/18/2022,20:00:00,18.92,7.36,77,67.1,0,65979
6/18/2022,21:00:00,18.84,7.34,78,67.8,0,65979
6/18/2022,22:00:00,18.69,7.31,77,68,0,65979
6/18/2022,23:00:00,18.6,7.28,77,65,0,65979
6/19/2022,0:00:00,18.5,7.27,78,0,0,65979
6/19/2022,1:00:00,18.34,7.27,77,67.1,0,65979
6/19/2022,2:00:00,18.2,7.24,78,66.6,0,65979
6/19/2022,3:00:00,18.05,7.22,77,68.6,0,65979
6/19/2022,4:00:00,17.93,7.19,78,68.5,0,65979
6/19/2022,5:00:00,17.86,7.18,78,68.5,0,65979
6/19/2022,6:00:00,17.76,7.16,78,67.9,0,65979
6/19/2022,7:00:00,17.72,7.13,78,68.5,0,65979
6/19/2022,8:00:00,17.63,7.15,78,52,0,65979
6/19/2022,9:00:00,17.59,7.15,78,58.7,0,65979
6/19/2022,10:00:00,17.54,7.15,77,62.5,0,65979
6/19/2022,11:00:00,17.58,7.17,77,63.1,0,65979
