date,time,parameter2
24.06.2021,0:15,---
24.06.2021,0:30,---
24.06.2021,0:45,---
24.06.2021,1:00,---
24.06.2021,1:15,---
24.06.2021,1:30,---
24.06.2021,1:45,---
24.06.2021,2:00,---
24.06.2021,2:15,---
24.06.2021,2:30,---
24.06.2021,2:45,---
24.06.2021,3:00,---
24.06.2021,3:15,---
24.06.2021,3:30,---
24.06.2021,3:45,---
24.06.2021,4:00,---
24.06.2021,4:15,---
24.06.2021,4:30,---
24.06.2021,4:45,---
24.06.2021,5:00,---
24.06.2021,5:15,---
24.06.2021,5:30,---
24.06.2021,5:45,---
24.06.2021,6:00,---
24.06.2021,6:15,---
24.06.2021,6:30,---
24.06.2021,6:45,---
24.06.2021,7:00,---
24.06.2021,7:15,---
24.06.2021,7:30,---
24.06.2021,7:45,---
24.06.2021,8:00,---
24.06.2021,8:15,---
24.06.2021,8:30,---
24.06.2021,8:45,---
24.06.2021,9:00,---
24.06.2021,9:15,---
24.06.2021,9:30,---
24.06.2021,9:45,---
24.06.2021,10:00,---
24.06.2021,10:15,---
24.06.2021,10:30,---
24.06.2021,10:45,---
24.06.2021,11:00,22.4
24.06.2021,11:15,21.2
24.06.2021,11:30,20.3
24.06.2021,11:45,19.7
24.06.2021,12:00,19.3
24.06.2021,12:15,19.1
24.06.2021,12:30,18.9
24.06.2021,12:45,18.6
24.06.2021,13:00,18.6
24.06.2021,13:15,18.6
24.06.2021,13:30,18.6
24.06.2021,13:45,18.6
24.06.2021,14:00,18.6
24.06.2021,14:15,18.5
24.06.2021,14:30,18.5
24.06.2021,14:45,18.4
24.06.2021,15:00,18.3
24.06.2021,15:15,18.2
24.06.2021,15:30,18
24.06.2021,15:45,17.9
24.06.2021,16:00,17.7
24.06.2021,16:15,17.7
24.06.2021,16:30,17.6
24.06.2021,16:45,17.4
24.06.2021,17:00,17.2
24.06.2021,17:15,17.1
24.06.2021,17:30,16.9
24.06.2021,17:45,16.6
24.06.2021,18:00,16.3
24.06.2021,18:15,16
24.06.2021,18:30,15.9
24.06.2021,18:45,15.7
24.06.2021,19:00,15.6
24.06.2021,19:15,15.4
24.06.2021,19:30,15.3
24.06.2021,19:45,15.1
24.06.2021,20:00,14.9
24.06.2021,20:15,14.8
24.06.2021,20:30,14.6
24.06.2021,20:45,14.5
24.06.2021,21:00,14.3
24.06.2021,21:15,14.2
24.06.2021,21:30,14.1
24.06.2021,21:45,13.9
24.06.2021,22:00,13.8
24.06.2021,22:15,13.6
24.06.2021,22:30,13.4
24.06.2021,22:45,13.2
24.06.2021,23:00,13
24.06.2021,23:15,12.8
24.06.2021,23:30,12.6
24.06.2021,23:45,12.4
25.06.2021,0:00,12.2
25.06.2021,0:15,12.1
25.06.2021,0:30,11.9
25.06.2021,0:45,11.8
