,,,Concentration (ppb)**,,,Qualitative Monitoring,,,,Representative Chromatograms
Sample Name*,Field Sampling Date,Analysis Date,Rotenone,Rotenolone,Deguelin,Tephrosin,CFT-5,CFT-6,,
Vogel Surface_a,10/7/2021,10/13/2021,28.26,10.59,19.94,Detected,Detected,Detected,,
Vogel Surface_b,10/7/2021,10/13/2021,22.45,10.20,19.91,Detected,Detected,Detected,,
Vogel Deep_a,10/7/2021,10/13/2021,18.75,9.05,16.07,Detected,Detected,Detected,,
Vogel Deep_b,10/7/2021,10/13/2021,18.36,8.60,16.02,Detected,Detected,Detected,,
N. Vogel Surface_a,10/7/2021,10/13/2021,26.97,14.30,21.57,Detected,Detected,Detected,,
N. Vogel Surface_b,10/7/2021,10/13/2021,26.83,14.95,21.70,Detected,Detected,Detected,,
N. Vogel Deep_a,10/7/2021,10/13/2021,13.67,7.33,10.89,Detected,Detected,Detected,,
N. Vogel Deep_b,10/7/2021,10/13/2021,13.54,7.90,11.22,Detected,Detected,Detected,,
Miller Creek,10/8/2021,10/13/2021,22.96,13.27,19.78,Detected,Detected,Detected,,
Blank,---,10/13/2021,23.03,13.74,19.24,ND,ND,ND,,
50 ppb QC,---,10/13/2021,44.75,49.11,45.05,ND,ND,ND,,
,,,,,,,,,,
*a and b denote separate extraction duplicates,,,,,,,,,,
**ND = Not Detected,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
