,,,Concentration (ppb)**,,,Qualitative Monitoring,,,,Representative Chromatograms
Sample Name*,Field Sampling Date,Analysis Date,Rotenone,Rotenolone,Deguelin,Tephrosin,CFT-5,CFT-6,,
Vogel Surface_a,1/5/2022,1/11/2022,ND,ND,ND,ND,ND,ND,,
Vogel Surface_b,1/5/2022,1/11/2022,ND,ND,ND,ND,ND,ND,,
Vogel Benthic_a,1/5/2022,1/11/2022,ND,ND,ND,ND,ND,ND,,
Vogel Benthic_b,1/5/2022,1/11/2022,ND,ND,ND,ND,ND,ND,,
N. Vogel Surface_a,1/4/2022,1/11/2022,9.06,9.14,5.32,Detected,Detected,Detected,,
N. Vogel Surface_b,1/4/2022,1/11/2022,8.94,9.17,5.26,Detected,Detected,Detected,,
N. Vogel Benthic_a,1/5/2022,1/11/2022,8.79,12.1,5.11,Detected,ND,ND,,
N. Vogel Benthic_b,1/5/2022,1/11/2022,8.72,11.7,5.01,Detected,ND,ND,,
Miller Creek 2_a,1/5/2022,1/11/2022,<0.5,0.52,<0.5,Detected,ND,ND,,
Miller Creek 2_b,1/5/2022,1/11/2022,<0.5,0.49,<0.5,Detected,ND,ND,,
Blank,---,1/11/2022,ND,ND,ND,ND,ND,ND,,
25 ppb QC,---,1/11/2022,24.37,24.22,24.57,ND,ND,ND,,
,,,,,,,,,,
*a and b denote separate extraction duplicates,,,,,,,,,,
**ND = Not Detected,,,,,,,,,,
