,,,Concentration (ppb)**,,,Qualitative Monitoring,,
Sample Name*,Field Sampling Date,Analysis Date,Rotenone,Rotenolone,Deguelin,Tephrosin,CFT-5,CFT-6
Vogel A_a,2/2/2022,2/4/2022,ND,ND,ND,ND,ND,ND
Vogel A_b,2/2/2022,2/4/2022,ND,ND,ND,ND,ND,ND
Vogel B_a,2/2/2022,2/4/2022,ND,ND,ND,ND,ND,ND
Vogel B_b,2/2/2022,2/4/2022,ND,ND,ND,ND,ND,ND
N. Vogel Surface_a,2/2/2022,2/4/2022,8.62,10.17,5.08,Detected,Detected,Detected
N. Vogel Surface_b,2/2/2022,2/4/2022,8.91,10.02,5.41,Detected,Detected,Detected
N. Vogel Benthic_a,2/2/2022,2/4/2022,ND,ND,ND,ND,ND,ND
N. Vogel Benthic_b,2/2/2022,2/4/2022,ND,ND,ND,ND,ND,ND
Blank,---,2/4/2022,ND,ND,ND,ND,ND,ND
25 ppb QC,---,2/4/2022,21.86,23.12,21.70,ND,ND,ND
,,,,,,,,
*a and b denote separate extraction duplicates,,,,,,,,
**ND = Not Detected,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
