"data_type","site_name","event","field_sample_date","site_arrival_time","site_depart_time","personnel","latitude","longitude","drill_date_time","weather","sample_name","sample_depth_m","general_notes","link_to_raw_data","link_to_analyses","qc1","data_entry","qc2","link_to_photos","qc2_notes","x22"
"Rotenone","Miller Creek 1","Post_Treatment_Rotenone",2021-10-08,NA,NA,"RM",60.989466,-150.439184,NA,NA,NA,0,"Sampled by ADF&G. Location coordinates estimated from Google Maps.","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20211130","BM 20211130",NA,NA,NA,"Note -- on 10/13/2021 UAA lab ran duplicate samples, labeled as a & b"
"Rotenone","Miller Creek Weir","Post_Treatment_Rotenone",2021-11-10,NA,NA,"RM",60.993127,-150.507964,NA,NA,NA,0,"Sampled by ADF&G. Shoreline sampling locatyio0n used because ice was too thin to walk on, too thick to boat on","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20211130","BM 20211130",NA,NA,NA,NA
"Rotenone","Miller_Creek_Rotenone_Surface_2","Post_Treatment_Rotenone",2021-12-03,11:25:00,11:30:00,"BM, JMB",60.989935,-150.44695,2021-12-03 11:30:00,"Clear",NA,NA,"Some open water on creek, punched through the area to access sample, waited five minutes to let disrupted area flow past","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","JMB 20211210","JMB 20211210",NA,NA,NA,NA
"Rotenone","Miller_Creek_Rotenone_Surface_2","Post_Treatment_Rotenone",2022-01-05,14:50:00,14:59:00,"BM, MP",60.98989,-150.446972,2022-01-05 14:55:00,"Clear",NA,NA,"Ice ~ 3 inches thick, some overlow and open water present on creek but safe to ski or snowmobile","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20220105","JMB 20220113",NA,NA,NA,NA
"Rotenone","North_Vogel_Lake_Rotenone_Benthic_1","Post_Treatment_Rotenone",2021-12-02,15:00:00,16:00:00,"BM, JMB",60.995322,-150.413361,2021-12-02 15:20:00,"Clear",NA,NA,"Sampled by KWF","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","JMB 20211210","JMB 20211210",NA,NA,NA,NA
"Rotenone","North_Vogel_Lake_Rotenone_Benthic_1","Post_Treatment_Rotenone",2022-01-05,15:48:00,16:05:00,"BM, MP",60.995322,-150.413361,2022-01-05 15:49:59,"Clear",NA,NA,"Kemmerer sample spring mechanism froze, won't fuction; Benthic sample is 1/2 benthic from Location A and 1/2 surface from Location B. Will re-do this sample if time allows *done 1/5/2022 benthic sample is collected according to ADFG SOP","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20220105","JMB 20220113",NA,NA,NA,NA
"Rotenone","North_Vogel_Lake_Rotenone_Benthic_2","Post_Treatment_Rotenone",2021-12-02,15:00:00,16:00:00,"BM, JMB",60.99716202,-150.412048,2021-12-02 15:20:00,"Clear",NA,NA,"Sampled by KWF","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","JMB 20211210","JMB 20211210",NA,NA,NA,NA
"Rotenone","North_Vogel_Lake_Rotenone_Benthic_2","Post_Treatment_Rotenone",2022-01-05,15:48:00,16:05:00,"BM, MP",60.99716202,-150.412048,2022-01-05 15:49:59,"Clear",NA,NA,"Kemmerer sample spring mechanism froze, won't fuction; Benthic sample is 1/2 benthic from Location A and 1/2 surface from Location B. Will re-do this sample if time allows *done 1/5/2022 benthic sample is collected according to ADFG SOP","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20220105","JMB 20220113",NA,NA,NA,NA
"Rotenone","North_Vogel_Lake_Rotenone_Benthic_A","Post_Treatment_Rotenone",2021-10-07,NA,NA,"RM",60.99716202,-150.412048,NA,NA,NA,NA,"Sampled by ADF&G","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20211130","BM 20211130","BM 20220316",NA,"Modified site name from ""1"" to ""A""",NA
"Rotenone","North_Vogel_Lake_Rotenone_Benthic_B","Post_Treatment_Rotenone",2021-10-07,NA,NA,"RM",60.99532203,-150.413361,NA,NA,NA,NA,"Sampled by ADF&G","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20211130","BM 20211130","BM 20220316",NA,"Modified site name from ""2"" to ""B""",NA
"Rotenone","North_Vogel_Lake_Rotenone_Surface_1","Pre_Treatment_Rotenone",2021-09-27,NA,NA,"RM",60.995322,-150.413361,NA,NA,NA,NA,"Sampled by ADF&G","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20211130","BM 20211130",NA,NA,NA,NA
"Rotenone","North_Vogel_Lake_Rotenone_Surface_1","Post_Treatment_Rotenone",2021-10-07,NA,NA,"RM",60.995322,-150.413361,NA,NA,NA,0,"Sampled by ADF&G","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20211130","BM 20211130",NA,NA,NA,NA
"Rotenone","North_Vogel_Lake_Rotenone_Surface_1","Post_Treatment_Rotenone",2021-12-02,15:00:00,16:00:00,"BM, JMB",60.995322,-150.413361,2021-12-02 15:20:00,"Clear",NA,NA,"Sampled by KWF","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","JMB 20211210","JMB 20211210","BM 20220316",NA,"Modified coordinates to match ADFG locations",NA
"Rotenone","North_Vogel_Lake_Rotenone_Surface_1","Post_Treatment_Rotenone",2022-01-04,15:48:00,16:05:00,"BM, MP",60.995322,-150.413361,2022-01-04 15:55:00,"Clear",NA,NA,"some frozen glass along top rim of glass","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20220104","JMB 20220113","BM 20220316",NA,"Modified coordinates to match ADFG locations",NA
"Rotenone","North_Vogel_Lake_Rotenone_Surface_2","Post_Treatment_Rotenone",2021-10-07,NA,NA,"RM",60.99716202,-150.412048,NA,NA,NA,0,"Sampled by ADF&G","https://tinyurl.com/kwf-vogel-wqx-data","https://bookdown.org/kwfwqx/miller_creek_vogel_lake_wqx/","BM 20211130","BM 20211130",NA,NA,NA,NA
